date,state,daily
4/15/2019,Malaysia,58
4/16/2019,Malaysia,154
4/17/2019,Malaysia,155
4/18/2019,Malaysia,185
4/19/2019,Malaysia,140
4/20/2019,Malaysia,164
4/21/2019,Malaysia,114
4/22/2019,Malaysia,200
4/23/2019,Malaysia,237
4/24/2019,Malaysia,206
4/25/2019,Malaysia,244
4/26/2019,Malaysia,188
4/27/2019,Malaysia,205
4/28/2019,Malaysia,181
4/29/2019,Malaysia,290
4/30/2019,Malaysia,237
5/1/2019,Malaysia,114
5/2/2019,Malaysia,301
5/3/2019,Malaysia,238
5/4/2019,Malaysia,180
5/5/2019,Malaysia,154
5/6/2019,Malaysia,254
5/7/2019,Malaysia,297
5/8/2019,Malaysia,254
5/9/2019,Malaysia,291
5/10/2019,Malaysia,275
5/11/2019,Malaysia,152
5/12/2019,Malaysia,128
5/13/2019,Malaysia,350
5/14/2019,Malaysia,323
5/15/2019,Malaysia,392
5/16/2019,Malaysia,386
5/17/2019,Malaysia,319
5/18/2019,Malaysia,184
5/19/2019,Malaysia,114
5/20/2019,Malaysia,385
5/21/2019,Malaysia,427
5/22/2019,Malaysia,408
5/23/2019,Malaysia,351
5/24/2019,Malaysia,288
5/25/2019,Malaysia,192
5/26/2019,Malaysia,198
5/27/2019,Malaysia,425
5/28/2019,Malaysia,353
5/29/2019,Malaysia,381
5/30/2019,Malaysia,361
5/31/2019,Malaysia,251
6/1/2019,Malaysia,144
6/2/2019,Malaysia,143
6/3/2019,Malaysia,214
6/4/2019,Malaysia,165
6/5/2019,Malaysia,42
6/6/2019,Malaysia,88
6/7/2019,Malaysia,196
6/8/2019,Malaysia,181
6/9/2019,Malaysia,184
6/10/2019,Malaysia,388
6/11/2019,Malaysia,406
6/12/2019,Malaysia,453
6/13/2019,Malaysia,557
6/14/2019,Malaysia,424
6/15/2019,Malaysia,359
6/16/2019,Malaysia,213
6/17/2019,Malaysia,517
6/18/2019,Malaysia,582
6/19/2019,Malaysia,546
6/20/2019,Malaysia,568
6/21/2019,Malaysia,442
6/22/2019,Malaysia,341
6/23/2019,Malaysia,289
6/24/2019,Malaysia,518
6/25/2019,Malaysia,564
6/26/2019,Malaysia,608
6/27/2019,Malaysia,573
6/28/2019,Malaysia,474
6/29/2019,Malaysia,308
6/30/2019,Malaysia,230
7/1/2019,Malaysia,589
7/2/2019,Malaysia,587
7/3/2019,Malaysia,496
7/4/2019,Malaysia,538
7/5/2019,Malaysia,473
7/6/2019,Malaysia,280
7/7/2019,Malaysia,256
7/8/2019,Malaysia,620
7/9/2019,Malaysia,589
7/10/2019,Malaysia,565
7/11/2019,Malaysia,624
7/12/2019,Malaysia,416
7/13/2019,Malaysia,371
7/14/2019,Malaysia,340
7/15/2019,Malaysia,616
7/16/2019,Malaysia,693
7/17/2019,Malaysia,736
7/18/2019,Malaysia,682
7/19/2019,Malaysia,536
7/20/2019,Malaysia,332
7/21/2019,Malaysia,321
7/22/2019,Malaysia,713
7/23/2019,Malaysia,698
7/24/2019,Malaysia,681
7/25/2019,Malaysia,708
7/26/2019,Malaysia,572
7/27/2019,Malaysia,294
7/28/2019,Malaysia,369
7/29/2019,Malaysia,650
7/30/2019,Malaysia,228
7/31/2019,Malaysia,742
8/1/2019,Malaysia,757
8/2/2019,Malaysia,434
8/3/2019,Malaysia,377
8/4/2019,Malaysia,396
8/5/2019,Malaysia,1031
8/6/2019,Malaysia,933
8/7/2019,Malaysia,946
8/8/2019,Malaysia,922
8/9/2019,Malaysia,669
8/10/2019,Malaysia,363
8/11/2019,Malaysia,166
8/12/2019,Malaysia,329
8/13/2019,Malaysia,726
8/14/2019,Malaysia,923
8/15/2019,Malaysia,783
8/16/2019,Malaysia,630
8/17/2019,Malaysia,475
8/18/2019,Malaysia,581
8/19/2019,Malaysia,1213
8/20/2019,Malaysia,1208
8/21/2019,Malaysia,1271
8/22/2019,Malaysia,1260
8/23/2019,Malaysia,925
8/24/2019,Malaysia,634
8/25/2019,Malaysia,681
8/26/2019,Malaysia,1240
8/27/2019,Malaysia,1301
8/28/2019,Malaysia,1475
8/29/2019,Malaysia,1308
8/30/2019,Malaysia,841
8/31/2019,Malaysia,177
9/1/2019,Malaysia,237
9/2/2019,Malaysia,547
9/3/2019,Malaysia,1116
9/4/2019,Malaysia,1282
9/5/2019,Malaysia,1480
9/6/2019,Malaysia,967
9/7/2019,Malaysia,555
9/8/2019,Malaysia,692
9/9/2019,Malaysia,581
9/10/2019,Malaysia,1402
9/11/2019,Malaysia,1311
9/12/2019,Malaysia,1243
9/13/2019,Malaysia,1029
9/14/2019,Malaysia,821
9/15/2019,Malaysia,518
9/16/2019,Malaysia,530
9/17/2019,Malaysia,1708
9/18/2019,Malaysia,1657
9/19/2019,Malaysia,1387
9/20/2019,Malaysia,1288
9/21/2019,Malaysia,862
9/22/2019,Malaysia,884
9/23/2019,Malaysia,1513
9/24/2019,Malaysia,1622
9/25/2019,Malaysia,1564
9/26/2019,Malaysia,1220
9/27/2019,Malaysia,773
9/28/2019,Malaysia,795
9/29/2019,Malaysia,642
9/30/2019,Malaysia,1397
10/1/2019,Malaysia,1269
10/2/2019,Malaysia,1458
10/3/2019,Malaysia,1516
10/4/2019,Malaysia,932
10/5/2019,Malaysia,535
10/6/2019,Malaysia,564
10/7/2019,Malaysia,1467
10/8/2019,Malaysia,1640
10/9/2019,Malaysia,1540
10/10/2019,Malaysia,1492
10/11/2019,Malaysia,821
10/12/2019,Malaysia,942
10/13/2019,Malaysia,830
10/14/2019,Malaysia,1542
10/15/2019,Malaysia,1696
10/16/2019,Malaysia,1884
10/17/2019,Malaysia,2102
10/18/2019,Malaysia,1148
10/19/2019,Malaysia,955
10/20/2019,Malaysia,1085
10/21/2019,Malaysia,1745
10/22/2019,Malaysia,1940
10/23/2019,Malaysia,1922
10/24/2019,Malaysia,1872
10/25/2019,Malaysia,1185
